"real","imag"
0.963113611148978,-0.0357919742999646
0.963113611148979,0.0357919742999645
0.000766814190442932,8.36419964860371e-23
3.79367493606511e-05,7.2158568967116e-05
3.79367493606511e-05,-7.2158568967116e-05
4.22598236038904e-05,-1.23824062349797e-05
4.22598236038956e-05,1.23824062349753e-05
2.51683638580376e-05,5.72922059685863e-17
2.4740466099411e-05,-5.33199780101692e-17
2.02840511269371e-06,-1.9605290829098e-06
2.02840511269369e-06,1.96052908290983e-06
1.82736224359666e-06,-1.1996976196117e-20
6.38505330460387e-07,-5.95567762320088e-07
6.3850533057599e-07,5.95567763979387e-07
