"real","imag"
0.999262214579771,0.000738597907928607
0.999262214579772,-0.000738597907928604
0.757413465043328,-1.40119620957576e-15
0.00472519744723644,8.72119843688326e-20
2.48019948376766e-05,-0.00336045967124316
2.48019948376632e-05,0.00336045967124319
0.00133119236374343,-4.82721214962188e-05
0.00133119236374354,4.827212149623e-05
0.000588565482673781,-9.38977038591153e-20
0.000114036898333494,-0.000228121738686093
0.000114036898333494,0.000228121738686093
0.000137288175328296,-1.16681512231933e-16
2.08061658979076e-05,-0.000103003791443861
2.08061658979173e-05,0.000103003791443783
